<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260101,050000,1.17454,1.17454,1.17454,1.17454,1
20260101,080000,1.17454,1.17454,1.17454,1.17454,1
20260101,140000,1.17454,1.17454,1.17454,1.17454,1
20260101,220000,1.1744,1.1745,1.1742,1.1742,4
20260102,000000,1.1744,1.1745,1.1744,1.17449,23
20260102,010000,1.17448,1.1747,1.17448,1.1747,97
20260102,020000,1.1747,1.17491,1.17449,1.17456,4735
20260102,030000,1.17461,1.17508,1.17448,1.17507,12026
20260102,040000,1.17506,1.17565,1.17497,1.17561,16646
20260102,050000,1.17561,1.1763,1.1756,1.17608,27353
20260102,060000,1.17608,1.1764,1.17578,1.1759,21014
20260102,070000,1.17591,1.1765,1.17589,1.17644,17869
20260102,080000,1.17642,1.17647,1.17547,1.17555,19038
20260102,090000,1.17555,1.1758,1.17505,1.1751,17789
20260102,100000,1.17509,1.17517,1.1741,1.17437,24367
20260102,110000,1.17436,1.17471,1.17318,1.17345,48061
20260102,120000,1.17346,1.17384,1.17237,1.17283,71595
20260102,130000,1.17283,1.17374,1.17202,1.17213,58063
20260102,140000,1.17213,1.17237,1.1713,1.1721,52276
20260102,150000,1.1721,1.17225,1.17149,1.17217,45121
20260102,160000,1.17217,1.17273,1.17203,1.17235,44183
20260102,170000,1.17235,1.1729,1.1718,1.17214,70824
20260102,180000,1.17216,1.17308,1.17154,1.17285,76089
20260102,190000,1.17283,1.17523,1.1728,1.17505,99098
20260102,200000,1.17506,1.17545,1.17338,1.17375,80675
20260102,210000,1.17372,1.17378,1.1728,1.17305,56751
20260102,220000,1.17305,1.17312,1.17148,1.17189,53434
20260102,230000,1.17189,1.17244,1.17138,1.17231,50603
20260103,000000,1.17231,1.17237,1.1715,1.17176,42929
20260103,010000,1.17174,1.17234,1.17168,1.17196,16481
20260103,020000,1.17197,1.1721,1.1717,1.17199,6
20260104,220000,1.17242,1.1727,1.1722,1.1723,41
20260104,230000,1.1724,1.1725,1.17203,1.1721,112
20260105,000000,1.1721,1.1723,1.1719,1.1723,79
20260105,010000,1.1723,1.1723,1.1721,1.1721,43
20260105,020000,1.17218,1.17231,1.1709,1.17104,5764
20260105,030000,1.17103,1.1713,1.16997,1.17051,31950
20260105,040000,1.17051,1.17111,1.17033,1.17047,51677
20260105,050000,1.17048,1.17073,1.16994,1.17003,54965
20260105,060000,1.17001,1.17017,1.16837,1.16887,49689
20260105,070000,1.16885,1.16907,1.16718,1.16751,40851
20260105,080000,1.16751,1.1683,1.16728,1.16818,32127
20260105,090000,1.16818,1.1686,1.16799,1.16851,24143
20260105,100000,1.16852,1.1692,1.1678,1.16908,35468
20260105,110000,1.16909,1.16922,1.16832,1.1686,57498
20260105,120000,1.16861,1.16948,1.16808,1.1683,74539
20260105,130000,1.16832,1.16875,1.16735,1.16826,62008
20260105,140000,1.16823,1.16901,1.16795,1.16895,60679
20260105,150000,1.16899,1.1691,1.16798,1.16814,59220
20260105,160000,1.16814,1.16852,1.16697,1.16706,60017
20260105,170000,1.16706,1.16753,1.16587,1.16744,91758
20260105,180000,1.16744,1.16874,1.1673,1.16844,94152
20260105,190000,1.16844,1.17046,1.16838,1.17044,106566
20260105,200000,1.17044,1.17188,1.17039,1.17146,84641
20260105,210000,1.17147,1.17197,1.17097,1.17142,63119
20260105,220000,1.17142,1.17254,1.1713,1.17248,43929
20260105,230000,1.1725,1.17288,1.17218,1.17271,48530
20260106,000000,1.17271,1.17287,1.17232,1.17246,33034
20260106,010000,1.17246,1.17263,1.1719,1.1721,16784
20260106,020000,1.17212,1.1722,1.17176,1.17186,3522
20260106,030000,1.17186,1.17214,1.17123,1.17144,12654
20260106,040000,1.17144,1.17171,1.17102,1.17167,28228
20260106,050000,1.17167,1.17253,1.17118,1.17251,44951
20260106,060000,1.17251,1.1738,1.17218,1.17372,35704
20260106,070000,1.17372,1.1756,1.1732,1.17344,32056
20260106,080000,1.17344,1.17357,1.1731,1.17335,23845
20260106,090000,1.17335,1.1737,1.17268,1.17288,30212
20260106,100000,1.17286,1.17372,1.17282,1.1736,33423
20260106,110000,1.1736,1.1743,1.17257,1.1729,53606
20260106,120000,1.17289,1.1739,1.17256,1.17281,69645
20260106,130000,1.17285,1.1729,1.17079,1.1713,66520
20260106,140000,1.1713,1.17173,1.1708,1.17126,47264
20260106,150000,1.17127,1.1713,1.17046,1.1706,45269
20260106,160000,1.1706,1.17123,1.1697,1.1701,53891
20260106,170000,1.1701,1.17137,1.1697,1.17109,81083
20260106,180000,1.17109,1.17176,1.1699,1.17089,90103
20260106,190000,1.17089,1.1709,1.16836,1.16952,117872
20260106,200000,1.16952,1.16983,1.16856,1.16881,76781
20260106,210000,1.16879,1.1701,1.16866,1.17004,51189
20260106,220000,1.17005,1.17021,1.16866,1.16882,48595
20260106,230000,1.16881,1.1691,1.16835,1.16893,47789
20260107,000000,1.16897,1.16931,1.16861,1.16869,38556
20260107,010000,1.16868,1.1689,1.16842,1.16885,16786
20260107,020000,1.16881,1.16881,1.16835,1.16877,3318
20260107,030000,1.16877,1.16906,1.16859,1.16868,10643
20260107,040000,1.16869,1.16944,1.1685,1.16915,39529
20260107,050000,1.16915,1.17007,1.16895,1.16956,43230
20260107,060000,1.16956,1.17028,1.16949,1.16962,30649
20260107,070000,1.1696,1.17003,1.16958,1.16984,24854
20260107,080000,1.16984,1.1702,1.16907,1.1691,32113
20260107,090000,1.16912,1.16943,1.16905,1.16927,27465
20260107,100000,1.16928,1.17,1.16917,1.16973,29243
20260107,110000,1.16973,1.16989,1.16784,1.16827,58453
20260107,120000,1.16825,1.16874,1.16725,1.16855,67720
20260107,130000,1.16855,1.1687,1.16809,1.16839,48189
20260107,140000,1.16839,1.1694,1.1683,1.16884,52759
20260107,150000,1.16884,1.16926,1.16848,1.16889,43065
20260107,160000,1.16891,1.16914,1.16809,1.16876,52415
20260107,170000,1.16876,1.1695,1.16818,1.16915,75366
20260107,180000,1.16915,1.16983,1.16868,1.16963,83345
20260107,190000,1.16963,1.16988,1.16797,1.16901,127102
20260107,200000,1.16901,1.16931,1.16819,1.16891,69337
20260107,210000,1.16891,1.16948,1.16858,1.16879,50335
20260107,220000,1.16879,1.16904,1.1682,1.16828,43142
20260107,230000,1.16828,1.16854,1.16784,1.16821,44369
20260108,000000,1.16821,1.1684,1.16785,1.16787,39533
20260108,010000,1.16787,1.16793,1.16732,1.16733,15402
20260108,020000,1.16728,1.1678,1.16714,1.16769,3641
20260108,030000,1.16768,1.16775,1.16746,1.16766,8785
20260108,040000,1.16766,1.16781,1.16754,1.16758,22604
20260108,050000,1.16755,1.1678,1.16725,1.16746,34485
20260108,060000,1.16745,1.16807,1.1672,1.168,35479
20260108,070000,1.168,1.1683,1.16785,1.16798,29337
20260108,080000,1.16798,1.16811,1.16776,1.168,20815
20260108,090000,1.16802,1.1683,1.1677,1.1682,30852
20260108,100000,1.16824,1.1683,1.16746,1.16813,43058
20260108,110000,1.16813,1.16829,1.16766,1.16775,51882
20260108,120000,1.16777,1.1679,1.16686,1.16712,60743
20260108,130000,1.1671,1.16769,1.1669,1.16764,48572
20260108,140000,1.16764,1.16819,1.16752,1.16797,47045
20260108,150000,1.16797,1.16803,1.16749,1.16775,36754
20260108,160000,1.16775,1.16779,1.16696,1.16731,42486
20260108,170000,1.16732,1.1678,1.1658,1.16626,76293
20260108,180000,1.16626,1.16666,1.16558,1.16643,88079
20260108,190000,1.16644,1.16739,1.16604,1.16663,87241
20260108,200000,1.16663,1.1736,1.1652,1.16542,72640
