<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251012,211000,1.15969,1.15995,1.1595,1.15952,20
20251012,211500,1.15952,1.15961,1.1595,1.1595,12
20251012,212000,1.15962,1.15995,1.15962,1.15993,9
20251012,212500,1.1598,1.15995,1.1598,1.1598,17
20251012,213000,1.1598,1.16035,1.1598,1.1601,66
20251012,213500,1.16,1.16113,1.1599,1.16095,63
20251012,214000,1.16105,1.16115,1.16075,1.161,19
20251012,214500,1.161,1.16111,1.16033,1.1608,27
20251012,215000,1.16053,1.16082,1.1605,1.1607,73
20251012,215500,1.16074,1.16074,1.1602,1.1602,27
20251012,220000,1.16027,1.16037,1.1599,1.16017,61
20251012,220500,1.16017,1.16048,1.15998,1.1601,57
20251012,221000,1.1601,1.16074,1.16003,1.16063,51
20251012,221500,1.16063,1.16103,1.1605,1.1608,44
20251012,222000,1.1608,1.16091,1.1608,1.1608,13
20251012,222500,1.1608,1.16091,1.1608,1.1608,29
20251012,223000,1.16084,1.16089,1.1607,1.16086,28
20251012,223500,1.1608,1.16106,1.1608,1.16106,18
20251012,224000,1.161,1.16109,1.161,1.161,15
20251012,224500,1.16108,1.16108,1.161,1.16108,7
20251012,225000,1.161,1.16108,1.161,1.161,7
20251012,225500,1.161,1.16131,1.161,1.16128,12
20251012,230000,1.16122,1.16122,1.1611,1.16119,5
20251012,230500,1.1611,1.16119,1.161,1.161,13
20251012,231000,1.161,1.16209,1.161,1.162,11
20251012,231500,1.162,1.16209,1.16197,1.162,22
20251012,232000,1.16209,1.16209,1.162,1.162,8
20251012,232500,1.16207,1.16209,1.162,1.162,12
20251012,233000,1.162,1.16209,1.1616,1.1616,16
20251012,233500,1.1616,1.16219,1.1616,1.1621,62
20251012,234000,1.162,1.16247,1.162,1.16232,33
20251012,234500,1.1623,1.16232,1.1619,1.162,14
20251012,235000,1.162,1.16209,1.1619,1.16208,17
20251012,235500,1.162,1.16208,1.16159,1.16191,24
20251013,000000,1.16158,1.16166,1.1615,1.16164,11
20251013,000500,1.1615,1.1616,1.1609,1.16098,60
20251013,001000,1.16104,1.1612,1.16083,1.16098,160
20251013,001500,1.1611,1.1612,1.16073,1.16094,142
20251013,002000,1.161,1.1611,1.16075,1.16088,162
20251013,002500,1.16097,1.16105,1.16069,1.16075,175
20251013,003000,1.16098,1.16102,1.16074,1.16086,55
20251013,003500,1.161,1.16102,1.16078,1.16093,191
20251013,004000,1.16103,1.16103,1.16078,1.1609,141
20251013,004500,1.1609,1.1615,1.16075,1.16137,502
20251013,005000,1.16136,1.16145,1.16097,1.1611,904
20251013,005500,1.16106,1.16148,1.16104,1.16147,525
20251013,010000,1.1614,1.16151,1.16109,1.16128,423
20251013,010500,1.16127,1.1613,1.16009,1.16013,4503
20251013,011000,1.16013,1.16059,1.15948,1.15967,4245
20251013,011500,1.15968,1.15989,1.15941,1.15946,2663
20251013,012000,1.15946,1.15959,1.1592,1.15924,3701
20251013,012500,1.15926,1.15968,1.15915,1.15959,2977
20251013,013000,1.15959,1.15962,1.15923,1.15951,3161
20251013,013500,1.15955,1.15988,1.15945,1.15984,3611
