<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260114,023500,1.16442,1.16454,1.16439,1.16448,851
20260114,024000,1.16447,1.16456,1.1644,1.16444,754
20260114,024500,1.16447,1.16448,1.16427,1.16432,928
20260114,025000,1.16432,1.16439,1.16427,1.16433,677
20260114,025500,1.16433,1.1644,1.1642,1.16424,922
20260114,030000,1.16423,1.1643,1.16415,1.16418,661
20260114,030500,1.16418,1.16431,1.1639,1.16398,2762
20260114,031000,1.16398,1.16406,1.16393,1.16401,1427
20260114,031500,1.16402,1.16404,1.16376,1.16382,1780
20260114,032000,1.16382,1.1641,1.16378,1.16408,1798
20260114,032500,1.16408,1.16414,1.16402,1.1641,1740
20260114,033000,1.16412,1.16415,1.16394,1.16414,1687
20260114,033500,1.16413,1.16418,1.16404,1.16411,1564
20260114,034000,1.16411,1.1643,1.16407,1.16424,2292
20260114,034500,1.16424,1.16437,1.16424,1.16429,2059
20260114,035000,1.16429,1.16435,1.16421,1.16423,1869
20260114,035500,1.16426,1.1643,1.1641,1.16417,2958
20260114,040000,1.16417,1.1643,1.16405,1.16427,3630
20260114,040500,1.16428,1.16432,1.1639,1.16399,4073
20260114,041000,1.16398,1.16403,1.1637,1.16374,2677
20260114,041500,1.16373,1.16382,1.16367,1.16373,2440
20260114,042000,1.16373,1.16392,1.16366,1.1638,2719
20260114,042500,1.1638,1.16385,1.16369,1.16372,2185
20260114,043000,1.16372,1.16378,1.16365,1.16373,1445
20260114,043500,1.16371,1.16382,1.16367,1.16373,2061
20260114,044000,1.16373,1.16394,1.16368,1.16385,2428
20260114,044500,1.16385,1.16392,1.16369,1.16382,2162
20260114,045000,1.16381,1.16395,1.16378,1.16388,2488
20260114,045500,1.16388,1.16395,1.16379,1.16379,2056
20260114,050000,1.16381,1.1639,1.1637,1.1638,2410
20260114,050500,1.1638,1.16396,1.16378,1.16389,3193
20260114,051000,1.16391,1.16394,1.16368,1.16372,1990
20260114,051500,1.16373,1.16377,1.16358,1.16374,2028
20260114,052000,1.16373,1.16391,1.16366,1.16387,2171
20260114,052500,1.16383,1.16393,1.16378,1.16385,1991
20260114,053000,1.16385,1.16395,1.1638,1.16388,1753
20260114,053500,1.16388,1.16415,1.16388,1.16391,3030
20260114,054000,1.16391,1.1641,1.16385,1.16404,2226
20260114,054500,1.16404,1.16412,1.16396,1.16408,2024
20260114,055000,1.16408,1.16431,1.16402,1.16424,2272
20260114,055500,1.16424,1.16443,1.16422,1.16433,2073
20260114,060000,1.16433,1.16445,1.16429,1.16433,2008
20260114,060500,1.16433,1.16455,1.16433,1.1645,2863
20260114,061000,1.1645,1.16455,1.1644,1.16448,2380
20260114,061500,1.16449,1.16455,1.1644,1.16452,2314
20260114,062000,1.16447,1.16462,1.16445,1.16456,1965
20260114,062500,1.16455,1.16462,1.16445,1.1645,1877
20260114,063000,1.1645,1.16455,1.1644,1.16447,1629
20260114,063500,1.16444,1.16465,1.16443,1.16463,1191
20260114,064000,1.16463,1.16474,1.16454,1.1647,2093
20260114,064500,1.1647,1.1648,1.16465,1.16475,2249
20260114,065000,1.16475,1.1648,1.1646,1.16465,1505
20260114,065500,1.16465,1.1649,1.16465,1.16483,1811
20260114,070000,1.16483,1.16486,1.16467,1.16468,2618
20260114,070500,1.16468,1.16478,1.16463,1.1647,1990
20260114,071000,1.1647,1.1648,1.16466,1.16471,1834
20260114,071500,1.16471,1.16473,1.16459,1.16463,1105
20260114,072000,1.16463,1.1647,1.16454,1.16456,1541
20260114,072500,1.16456,1.16461,1.16447,1.16451,1685
